,Xiaomi,Asus,Mac OS X,Huawei,Windows 10 S,ARM_GPU,Samsung_CPU,Fujitsu,Lenovo,Samsung,Google,Android,Toshiba,HP,Microsoft,Dell,Chuwi,LG,Inches,Vero,2 in 1 Convertible,Apple,Mediacom,macOS,Netbook,Chrome OS,Storage,Windows 10,Windows 7,Linux,No OS,MSI,AMD_CPU,Intel_CPU,Intel_GPU,AMD_GPU,Acer,Weight,Razer,Workstation,Ultrabook,Nvidia_GPU,Gaming,CpuFreq,Notebook,ScreenHeight,ScreenWidth,Ram,Price
1131,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,14.0,0,1,0,0,0,0,0,512.0,0,1,0,0,0,0,1,0,0,0,1.8,0,0,0,1,0,2.6,0,1080,1920,8,109244.2464
1132,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.0,0,0,0,0,0,0,0,32.0,1,0,0,0,0,0,1,1,0,0,1.5,0,0,0,0,0,1.1,1,768,1366,4,14811.84
1133,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,15.6,0,0,0,0,0,0,0,256.0,1,0,0,0,0,0,1,1,0,0,1.84,0,0,1,0,0,2.7,0,1080,1920,8,40066.56
1134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.6,0,0,0,0,0,0,0,1000.0,1,0,0,0,0,0,1,0,0,1,2.23,0,0,0,1,0,2.5,1,1080,1920,4,32820.48
1135,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,15.6,0,0,0,0,0,0,0,1000.0,1,0,0,0,0,0,1,0,1,0,2.5,0,0,0,0,0,2.5,1,1080,1920,16,58554.72
1136,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,17.3,0,0,0,0,0,0,0,256.0,0,1,0,0,0,0,1,0,0,0,3.0,0,1,0,1,0,2.6,0,1080,1920,8,210424.032
1137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15.6,0,0,0,0,0,0,0,1000.0,1,0,0,0,0,0,1,0,1,0,2.5,0,0,0,0,0,2.5,1,768,1366,8,41771.52
1138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.3,0,0,0,0,0,0,0,256.0,1,0,0,0,1,0,1,0,0,0,3.78,0,0,0,1,1,2.7,0,1080,1920,16,127818.72
1139,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,15.6,0,0,0,0,0,0,0,256.0,0,1,0,0,0,0,1,1,0,0,1.88,0,0,1,0,0,2.5,0,1080,1920,8,115709.2416
1140,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,14.0,0,1,0,0,0,0,0,512.0,1,0,0,0,0,0,1,1,0,0,2.8,0,0,0,0,0,2.6,0,1440,2560,16,130003.2
1141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.6,0,0,0,0,0,0,0,128.0,1,0,0,0,1,0,1,0,0,0,2.4,0,0,0,1,1,2.8,0,1080,1920,8,60888.384
1142,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,13.3,0,1,0,0,0,0,0,256.0,1,0,0,0,0,0,1,1,0,0,1.48,0,0,0,0,0,2.4,0,1080,1920,8,86793.12
1143,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,15.6,0,0,0,0,0,0,0,256.0,0,1,0,0,0,0,1,0,0,0,2.59,0,1,0,1,0,2.6,0,1080,1920,8,118761.12
1144,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,13.3,0,1,0,0,0,0,0,256.0,1,0,0,0,0,0,1,1,0,0,1.48,0,0,0,0,0,2.6,0,1440,2560,8,95850.72
1145,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,15.6,0,0,0,0,0,0,0,256.0,0,1,0,0,0,0,1,0,0,0,2.0,0,1,0,1,0,2.6,0,1080,1920,8,101178.72
1146,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,12.5,0,0,0,0,0,0,0,256.0,0,1,0,0,0,0,1,1,0,0,1.26,0,0,1,0,0,2.5,0,1080,1920,8,122381.49599999998
1147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15.6,0,0,0,0,0,0,0,256.0,1,0,0,0,0,0,1,0,0,0,2.18,0,0,0,1,0,2.7,1,1080,1920,8,53807.472
1148,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,15.6,0,0,0,0,0,0,0,256.0,0,1,0,0,0,0,1,1,0,0,1.88,0,0,0,0,0,2.3,1,1080,1920,8,84129.12
1149,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,14.0,0,1,0,0,0,0,0,256.0,1,0,0,0,0,0,1,1,0,0,1.27,0,0,0,0,0,2.5,0,1440,2560,8,124621.92
1150,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,15.6,0,0,0,0,0,0,0,1000.0,0,0,0,1,0,0,1,1,0,0,1.9,0,0,0,0,0,2.0,1,768,1366,4,18061.92
1151,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,15.6,0,0,0,0,0,0,0,500.0,1,0,0,0,0,1,0,0,1,0,1.86,0,0,0,0,0,1.8,1,768,1366,4,15824.16
1152,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,15.6,0,0,0,0,0,0,0,1000.0,0,0,0,1,0,0,1,0,1,0,2.32,0,0,0,0,0,2.3,1,1080,1920,8,31914.72
1153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15.6,0,0,0,0,0,0,0,1000.0,1,0,0,0,0,0,1,0,0,0,2.62,0,0,0,1,1,2.8,0,1080,1920,8,63882.72
1154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15.6,0,0,0,0,0,0,0,256.0,1,0,0,0,0,0,1,0,0,0,2.04,0,0,0,1,0,2.3,1,2160,3840,8,119916.2304
1155,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,15.6,0,0,0,0,0,0,0,256.0,1,0,0,0,0,1,0,0,1,0,1.91,0,0,0,0,0,2.5,1,1080,1920,4,25515.2592
1156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.3,0,0,0,0,0,0,0,256.0,1,0,0,0,1,0,1,0,0,0,2.7,0,0,0,1,1,2.8,0,1080,1920,16,79536.38399999999
1157,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,14.0,0,0,0,0,0,0,0,512.0,0,1,0,0,0,0,1,1,0,0,1.4,0,0,1,0,0,2.6,0,1080,1920,12,122490.72
